,sci_name
906,Selasphorus platycercus
907,Selasphorus rufus
908,Stellula calliope
909,Caprimulgus vociferus
910,Chordeiles acutipennis
911,Chordeiles minor
912,Phalaenoptilus nuttallii
913,Charadrius vociferus
914,Chlidonias niger
915,Larus atricilla
916,Larus delawarensis
917,Larus philadelphia
918,Larus pipixcan
919,Rissa tridactyla
920,Sterna antillarum
921,Sterna forsteri
922,Sternula antillarum
923,Himantopus mexicanus
924,Recurvirostra americana
925,Actitis macularius
926,Bartramia longicauda
927,Calidris alpina
928,Calidris bairdii
929,Calidris mauri
930,Calidris melanotos
931,Calidris minutilla
932,Gallinago delicata
933,Limnodromus scolopaceus
934,Numenius americanus
935,Numenius phaeopus
936,Phalaropus tricolor
937,Scolopax minor
938,Tringa flavipes
939,Tringa melanoleuca
940,Tringa semipalmata
941,Tringa solitaria
942,Columba livia
943,Columbina inca
944,Columbina passerina
945,Columbina talpacoti
946,Leptotila verreauxi
947,Patagioenas fasciata
948,Streptopelia decaocto
949,Zenaida asiatica
950,Zenaida macroura
951,Chloroceryle americana
952,Megaceryle alcyon
953,Coccyzus americanus
954,Coccyzus erythropthalmus
955,Crotophaga sulcirostris
956,Geococcyx californianus
957,Caracara cheriway
958,Falco columbarius
959,Falco femoralis
960,Falco mexicanus
961,Falco peregrinus
962,Falco sparverius
963,Callipepla gambelii
964,Callipepla squamata
965,Cyrtonyx montezumae
966,Meleagris gallopavo
967,Gavia immer
968,Grus canadensis
969,Coturnicops noveboracensis
970,Fulica americana
971,Gallinula chloropus
972,Porphyrio martinica
973,Porzana carolina
974,Rallus elegans
975,Rallus limicola
976,Psaltriparus minimus
977,Eremophila alpestris
978,Bombycilla cedrorum
979,Calcarius ornatus
980,Calcarius pictus
981,Plectrophenax nivalis
982,Cardinalis cardinalis
983,Cardinalis sinuatus
984,Passerina amoena
985,Passerina caerulea
986,Passerina ciris
987,Passerina cyanea
988,Passerina versicolor
989,Pheucticus ludovicianus
990,Pheucticus melanocephalus
991,Piranga bidentata
992,Piranga flava
993,Piranga ludoviciana
994,Piranga olivacea
995,Piranga rubra
996,Spiza americana
997,Certhia americana
998,Cinclus mexicanus
999,Aphelocoma californica
1000,Aphelocoma ultramarina
1001,Corvus corax
1002,Corvus cryptoleucus
1003,Cyanocitta cristata
1004,Cyanocitta stelleri
1005,Gymnorhinus cyanocephalus
1006,Nucifraga columbiana
1007,Pachyramphus aglaiae
1008,Aimophila cassinii
1009,Aimophila ruficeps
1010,Ammodramus bairdii
1011,Ammodramus leconteii
1012,Ammodramus savannarum
1013,Amphispiza belli
1014,Amphispiza bilineata
1015,Calamospiza melanocorys
1016,Chondestes grammacus
1017,Junco hyemalis
1018,Junco phaeonotus
1019,Melospiza georgiana
1020,Melospiza lincolnii
1021,Melospiza melodia
1022,Melozone fusca
1023,Passerculus sandwichensis
1024,Passerella iliaca
1025,Pipilo chlorurus
1026,Pipilo maculatus
1027,Pooecetes gramineus
1028,Spizella atrogularis
1029,Spizella breweri
1030,Spizella pallida
1031,Spizella passerina
1032,Spizella pusilla
1033,Zonotrichia albicollis
1034,Zonotrichia atricapilla
1035,Zonotrichia leucophrys
1036,Zonotrichia querula
1037,Carpodacus cassinii
1038,Carpodacus mexicanus
1039,Carpodacus purpureus
1040,Coccothraustes vespertinus
1041,Loxia curvirostra
1042,Spinus pinus
1043,Spinus psaltria
1044,Spinus tristis
1045,Hirundo rustica
1046,Petrochelidon fulva
1047,Petrochelidon pyrrhonota
1048,Progne subis
1049,Riparia riparia
1050,Stelgidopteryx serripennis
1051,Tachycineta bicolor
1052,Tachycineta thalassina
1053,Agelaius phoeniceus
1054,Euphagus carolinus
1055,Euphagus cyanocephalus
1056,Icterus bullockii
1057,Icterus cucullatus
1058,Icterus galbula
1059,Icterus parisorum
1060,Icterus spurius
1061,Icterus wagleri
1062,Molothrus aeneus
1063,Molothrus ater
1064,Quiscalus mexicanus
1065,Quiscalus quiscula
1066,Sturnella magna
1067,Sturnella neglecta
1068,Xanthocephalus xanthocephalus
1069,Lanius ludovicianus
1070,Dumetella carolinensis
1071,Mimus polyglottos
1072,Oreoscoptes montanus
1073,Toxostoma crissale
1074,Toxostoma curvirostre
1075,Toxostoma longirostre
1076,Toxostoma rufum
1077,Anthus rubescens
1078,Anthus spragueii
1079,Baeolophus atricristatus
1080,Poecile gambeli
1081,Basileuterus rufifrons
1082,Cardellina rubrifrons
1083,Dendroica caerulescens
1084,Dendroica castanea
1085,Dendroica cerulea
1086,Dendroica chrysoparia
1087,Dendroica coronata
1088,Dendroica discolor
1089,Dendroica dominica
1090,Dendroica fusca
1091,Dendroica graciae
1092,Dendroica magnolia
1093,Dendroica nigrescens
1094,Dendroica occidentalis
1095,Dendroica palmarum
1096,Dendroica pensylvanica
1097,Dendroica petechia
1098,Dendroica pinus
1099,Dendroica striata
1100,Dendroica tigrina
1101,Dendroica townsendi
1102,Dendroica virens
1103,Euthlypis lachrymosa
1104,Geothlypis trichas
1105,Helmitheros vermivorum
1106,Icteria virens
1107,Limnothlypis swainsonii
1108,Mniotilta varia
1109,Myioborus miniatus
1110,Myioborus pictus
1111,Oporornis formosus
1112,Oporornis philadelphia
1113,Oporornis tolmiei
1114,Oreothlypis luciae
1115,Oreothlypis virginiae
1116,Parula americana
1117,Parula pitiayumi
1118,Parula superciliosa
1119,Protonotaria citrea
1120,Seiurus aurocapilla
1121,Seiurus motacilla
1122,Seiurus noveboracensis
1123,Setophaga ruticilla
1124,Vermivora celata
1125,Vermivora chrysoptera
1126,Vermivora crissalis
1127,Vermivora peregrina
1128,Vermivora pinus
1129,Vermivora ruficapilla
1130,Wilsonia canadensis
1131,Wilsonia citrina
1132,Wilsonia pusilla
1133,Passer domesticus
1134,Peucedramus taeniatus
1135,Polioptila caerulea
1136,Polioptila melanura
1137,Phainopepla nitens
1138,Regulus calendula
1139,Regulus satrapa
1140,Auriparus flaviceps
