activity_id,activity_name,park_id
4A58AF13-E8FB-4530-B41A-97DF0B0C77B7,Backcountry Camping,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
AE42B46C-E4B7-4889-A122-08FE180371AE,Fishing,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
8386EEAF-985F-4DE8-9037-CCF91975AC94,Hunting and Gathering,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
25559F45-F162-4B8B-BEC2-B341034A2AF4,Hunting,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
4D224BCA-C127-408B-AC75-A51563C42411,Paddling,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
256543C7-4322-48B3-8978-765E89AA9431,Kayak Camping,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
F353A9ED-4A08-456E-8DEC-E61974D0FEB6,Kayaking,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
75B92BEB-A36D-4064-88B7-92EEC6D17611,Whitewater Rafting,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching,C4E1A9A4-D121-4734-94FA-7788A93C2AAA
1DFACD97-1B9C-4F5A-80F2-05593604799E,Food,C08AD828-98FF-478E-A63C-614E7534274B
0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching,C08AD828-98FF-478E-A63C-614E7534274B
5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching,C08AD828-98FF-478E-A63C-614E7534274B
24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping,C08AD828-98FF-478E-A63C-614E7534274B
467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store,C08AD828-98FF-478E-A63C-614E7534274B
B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
A0631906-9672-4583-91DE-113B93DB6B6E,Self-Guided Tours - Walking,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
C7D5A145-F8EB-4C37-9E92-2F6C6206B196,Self-Guided Tours - Auto,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
C8F98B28-3C10-41AE-AA99-092B3B398C43,Museum Exhibits,94B046DC-2AFD-4ECB-A60D-CE210A8550B1
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,6D82D070-995A-4524-A56E-C1CE182E7D9B
C59E231D-55FC-4B37-BC5B-FF76383951B5,Craft Demonstrations,6D82D070-995A-4524-A56E-C1CE182E7D9B
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,6D82D070-995A-4524-A56E-C1CE182E7D9B
B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours,6D82D070-995A-4524-A56E-C1CE182E7D9B
DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program,6D82D070-995A-4524-A56E-C1CE182E7D9B
